uuid,사업자명,리뷰본문,키워드
75bd7da1-2f10-4933-9a47-d0a2deb28f76,탄탄면공방 명동점,"탄탄면공방 넘 오랜만에 오는데 국밥메뉴가 원래 있었나요?
원래 밥파인데 탄탄면에 밥이라니 넘 좋아요
면도 먹고 셀프바에 밥도 있어서 면먹고 밥드셔도 좋을것 같아요!!

저는 1인분이면 충분해서 바로 밥으로 주문!
오랜만에 먹었는데두 넘나 맛있어요

키오스크로 주문하고 직원분 안내에 따라 1층 혹은 2층 올라가시면돼요!!
2층은 못올라갔지만 1층 혼밥석에 앉아 맛있게 먹었습니다

11시 40분~12시쯤은 사람들이 몰려있는데
12시 10분넘어서는 슬슬 자리 빠져서 바로 들어갈수 있더라구요
자리 착석같이 10분걸렸는데 거의 앉자마자 음식나와서
바로 먹었어요
국물도 너무 맛있고 나중에 매운 사천으로 먹어볼까봐요
은근 비빔탄면도 인기메뉴여서 이것도 먹어보구싶어요!!","음식이 맛있어요, 혼밥하기 좋아요, 차분한 분위기에요, 친절해요, 매장이 청결해요"
9cb6c0ae-9718-4f0f-b748-724e096226c6,탄탄면공방 명동점,진짜 너무 맛있어요 ㅠㅠ 간만에 먹은 탄탄멘 진짜 모든게 만족스럽네요 다 먹고 밥 안먹으려고 햇는데 밥까지 말아서 완탄 햇어요 ! 쿨타임 차면 또 먹으러 갈게요!,"음식이 맛있어요, 양이 많아요"
b829542a-bd7a-4e22-928a-7e7ebc75c17b,탄탄면공방 명동점,"너무 맛있고 양도 많아서 진짜 짱
밥도 무료로 먹을 수 있어서 너무 좋았습니다","음식이 맛있어요, 양이 많아요, 혼밥하기 좋아요"
2d08f02c-92b5-4f4b-9a61-62a475284191,탄탄면공방 명동점,"국물도, 면도 고명도 다 적당하고 맛있어요","음식이 맛있어요, 현지 맛에 가까워요, 가성비가 좋아요, 혼밥하기 좋아요"
8bc33a02-3a42-41b1-8792-806e08989122,탄탄면공방 명동점,"너무너무 맛있다...
다음에도 오고 싶어요.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요"
ae31b7b6-d27e-46db-b0f0-808f3159f02a,탄탄면공방 명동점,맛있어용 비빔탄탄 신선한 맛입니다~!,"음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 친절해요, 매장이 청결해요"
0a1578d1-76d4-4639-9497-cd3932bc96b3,탄탄면공방 명동점,국물이 얼큰하니 맛있어요~,음식이 맛있어요
68240b7d-d2ee-4d6c-b7a6-33c04c900277,탄탄면공방 명동점,점심에 먹기 좋아요,"혼밥하기 좋아요, 음식이 맛있어요"
bc6c151e-6c56-45d7-abf7-98c32aaa9312,탄탄면공방 명동점,"나혼자탄탄면 계란밥셋트, 사천탄탄면으로 변경, 파채추가, 차슈추가, 매운소스추가.
아아아아아주 맛있게 맵고 칼칼하니 좋았고, 추운날씨에 완벽한 국물이었어요!
맵기는 불닭보다 덜매움!","음식이 맛있어요, 혼밥하기 좋아요, 친절해요"
37f72490-d153-4b27-99b0-2a36e768be3d,탄탄면공방 명동점,양도 충분하고 기본 탄탄 맛있어요! 안느끼합니다,"음식이 맛있어요, 재료가 신선해요"
e85c89bc-a10e-4586-b5fd-e2ab6a1e61f2,탄탄면공방 명동점,2인세트 국밥으로 변경해서 먹었는데 맛있게 먹었습니다.,"음식이 맛있어요, 양이 많아요"
aaa1dfbd-f16b-478f-8212-ab67b876e8bc,탄탄면공방 명동점,차슈는 별로였던거같아요 마늘 많이 넣고 먹으면 맛있어요 담에 방문한다고 차슈는 추가 안할 것 같습니다,혼밥하기 좋아요
e9f78299-e31a-43fe-aa24-89c6442b8bd7,탄탄면공방 명동점,"고소하고 담백한 탄탄면🫢
주기적으로 찾아가는 명동 맛집!
오리지널 탄탄면 자체가 고소하고 묵직한 맛이랍니다.","음식이 맛있어요, 메뉴 구성이 알차요"
d77b26bc-4b68-43dd-adb9-b9e2ed39023c,탄탄면공방 명동점,"탄탄면 공방~맛집이에요~
매장이 조금 비좁아 점심시간때는 좀 대기해야해요~~","음식이 맛있어요, 재료가 신선해요, 혼밥하기 좋아요"
7bd42b69-5a6d-4c6d-9032-1162a4c1aab4,탄탄면공방 명동점,"회사로 복귀한 (전)팀 동료의 복귀 축하(?)점심을 달렸습니다!

오란만에 방문한 탄탄면공방의,
편안하고 검증된 맛 덕분에 동요와의 오붓한 시간은 행복 그 자체였다는건 안비밀🤫

오늘도 잘 먹고 갑니다!🍽️","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요, 매장이 청결해요"
486dc399-68a7-403b-a8ae-30825e0a3d7b,탄탄면공방 명동점,"탄탄면이 집집이 맛이 다 다르지만 이 곳은 딱 국물이 한국화된 맛으로 정말 맛있어요.
튀긴 만두는 정말 고기가 꽉 차있는 맛이네요.
조금 먹다가 간마늘 추가해서 먹으면 더욱 깊고 감칠맛나게 먹을 수 있어 좋아요.","음식이 맛있어요, 양이 많아요"
